"VCHCARTERA","NUMFECHAREFERENCIA","STAGE","MOTIVOS","EAD","SALDO_DIRECTO","EAD_LGD","PROVISION","PROVISION_REACTIVA"
"Hipotecas","202404","1"," 1.001 Sin Motivo-8 a menos","8.94408641027E9","8.94408641027E9","7.40616413543985E8","5214342.074566891","5214342.074566891"
"Hipotecas","202404","1"," 1.001 Sin Motivo-9 a mas","1.4298021460000002E8","1.4298021460000002E8","1.1847897379044412E7","1083591.2687168345","1083591.2687168345"
"Hipotecas","202404","2"," 2.001 ISR-8 menos","3.9917410174E8","3.9917410174E8","3.287010948201594E7","2.009823657268398E7","2.009823657268398E7"
"Hipotecas","202404","2"," 2.001 ISR-9 a mas","9.729113640000002E7","9.729113640000002E7","8040554.409915347","5643017.907064995","5643017.907064996"
"Hipotecas","202404","2"," 2.002 Missing PD","1.1982163540000003E7","1.1982163540000003E7","998389.3883346594","31092.774100820738","31092.774100820738"
"Hipotecas","202404","2","2.003 Dias de vencido","6.035105499000001E7","6.035105499000001E7","4981007.222673554","2914617.6218167054","2914617.6218167054"
"Hipotecas","202404","2","2.004 Refinanciado","3.1045813560000002E7","3.1045813560000002E7","2593700.550689176","578173.6050068793","578173.6050068793"
"Hipotecas","202404","2","2.006 Cura","7.039707947999999E7","7.039707947999999E7","5810231.872302142","3632773.7935018213","3632773.7935018213"
"Hipotecas","202404","3","3.001 Default","1.0420943157000001E8","1.0420943157000001E8","2.407708596798569E7","2.407708596798569E7","2.407708596798569E7"
"Hipotecas","202404","3","3.002 Judicial","2.0706004489999995E8","2.0706004489999995E8","4.79366978289565E7","4.79366978289565E7","4.79366978289565E7"
