"VCHCARTERA","NUMFECHAREFERENCIA","STAGE","MOTIVOS","EAD","SALDO_DIRECTO","EAD_LGD","PROVISION","PROVISION_REACTIVA"
"Hipotecas","202404","1"," 1.001 Sin Motivo-8 a menos","8.944086410270002E9","8.944086410270002E9","7.406164135439849E8","5214342.074566892","5214342.074566891"
"Hipotecas","202404","1"," 1.001 Sin Motivo-9 a mas","1.429802146E8","1.429802146E8","1.1847897379044412E7","1083591.2687168343","1083591.2687168343"
"Hipotecas","202404","2"," 2.001 ISR-8 menos","3.9917410174E8","3.9917410174E8","3.2870109482015934E7","2.0098236572683983E7","2.0098236572683983E7"
"Hipotecas","202404","2"," 2.001 ISR-9 a mas","9.729113640000002E7","9.729113640000002E7","8040554.409915343","5643017.907064996","5643017.907064996"
"Hipotecas","202404","2"," 2.002 Missing PD","1.1982163540000001E7","1.1982163540000001E7","998389.3883346595","31092.774100820734","31092.77410082074"
"Hipotecas","202404","2","2.003 Dias de vencido","6.035105499000001E7","6.035105499000001E7","4981007.222673552","2914617.6218167054","2914617.6218167054"
"Hipotecas","202404","2","2.004 Refinanciado","3.104581356E7","3.104581356E7","2593700.550689176","578173.6050068795","578173.6050068795"
"Hipotecas","202404","2","2.006 Cura","7.039707948E7","7.039707948E7","5810231.872302142","3632773.7935018204","3632773.7935018204"
"Hipotecas","202404","3","3.001 Default","1.0420943157000002E8","1.0420943157000002E8","2.4077085967985686E7","2.4077085967985686E7","2.4077085967985686E7"
"Hipotecas","202404","3","3.002 Judicial","2.0706004489999995E8","2.0706004489999995E8","4.793669782895651E7","4.793669782895651E7","4.793669782895651E7"
